2026-06-07 10:39:28 | ml_trading | INFO | Fold 65: train=3600, test=50
2026-06-07 10:39:30 | ml_trading | INFO | Fold 66: train=3650, test=50
2026-06-07 10:39:32 | ml_trading | INFO | Fold 67: train=3700, test=50
2026-06-07 10:39:40 | ml_trading | INFO | Fold 68: train=3750, test=50
2026-06-07 10:39:48 | ml_trading | INFO | Fold 69: train=3800, test=50
2026-06-07 10:39:57 | ml_trading | INFO | Fold 70: train=3850, test=50
2026-06-07 10:39:59 | ml_trading | INFO | Fold 71: train=3900, test=50
2026-06-07 10:40:07 | ml_trading | INFO | Fold 72: train=3950, test=50
2026-06-07 10:40:09 | ml_trading | INFO | Fold 73: train=4000, test=50
2026-06-07 10:40:16 | ml_trading | INFO | Fold 74: train=4050, test=50
2026-06-07 10:40:19 | ml_trading | INFO | Fold 75: train=4100, test=50
2026-06-07 10:40:26 | ml_trading | INFO | Fold 76: train=4150, test=50
2026-06-07 10:40:34 | ml_trading | INFO | Fold 77: train=4200, test=50
2026-06-07 10:40:38 | ml_trading | INFO | Fold 78: train=4250, test=50
2026-06-07 10:40:45 | ml_trading | INFO | Fold 79: train=4300, test=50
2026-06-07 10:40:53 | ml_trading | INFO | Fold 80: train=4350, test=50
2026-06-07 10:40:57 | ml_trading | INFO | Fold 81: train=4400, test=50
2026-06-07 10:41:04 | ml_trading | INFO | Fold 82: train=4450, test=50
2026-06-07 10:41:08 | ml_trading | INFO | Fold 83: train=4500, test=50
2026-06-07 10:41:15 | ml_trading | INFO | Fold 84: train=4550, test=50
2026-06-07 10:41:18 | ml_trading | INFO | Fold 85: train=4600, test=50
2026-06-07 10:41:26 | ml_trading | INFO | Fold 86: train=4650, test=50
2026-06-07 10:41:32 | ml_trading | INFO | Fold 87: train=4700, test=50
2026-06-07 10:41:41 | ml_trading | INFO | Fold 88: train=4750, test=50
2026-06-07 10:41:43 | ml_trading | INFO | Fold 89: train=4800, test=50
2026-06-07 10:41:51 | ml_trading | INFO | Fold 90: train=4850, test=50
2026-06-07 10:41:53 | ml_trading | INFO | Fold 91: train=4900, test=50
2026-06-07 10:42:00 | ml_trading | INFO | Fold 92: train=4950, test=50
2026-06-07 10:42:04 | ml_trading | INFO | Fold 93: train=5000, test=50
2026-06-07 10:42:13 | ml_trading | INFO | Fold 94: train=5050, test=50
2026-06-07 10:42:21 | ml_trading | INFO | Fold 95: train=5100, test=50
2026-06-07 10:42:30 | ml_trading | INFO | Fold 96: train=5150, test=50
2026-06-07 10:42:38 | ml_trading | INFO | Fold 97: train=5200, test=50
2026-06-07 10:42:41 | ml_trading | INFO | Fold 98: train=5250, test=50
2026-06-07 10:42:47 | ml_trading | INFO | Fold 99: train=5300, test=50
2026-06-07 10:42:49 | ml_trading | INFO | Fold 100: train=5350, test=50
2026-06-07 10:42:51 | ml_trading | INFO | Fold 101: train=5400, test=50
2026-06-07 10:42:56 | ml_trading | INFO | Fold 102: train=5450, test=50
2026-06-07 10:42:59 | ml_trading | INFO | Fold 103: train=5500, test=50
2026-06-07 10:43:07 | ml_trading | INFO | Fold 104: train=5550, test=50
2026-06-07 10:43:16 | ml_trading | INFO | Fold 105: train=5600, test=50
2026-06-07 10:43:18 | ml_trading | INFO | Fold 106: train=5650, test=50
2026-06-07 10:43:26 | ml_trading | INFO | Fold 107: train=5700, test=50
2026-06-07 10:43:35 | ml_trading | INFO | Fold 108: train=5750, test=50
2026-06-07 10:43:43 | ml_trading | INFO | Fold 109: train=5800, test=50
2026-06-07 10:43:45 | ml_trading | INFO | Fold 110: train=5850, test=50
2026-06-07 10:43:54 | ml_trading | INFO | Fold 111: train=5900, test=50
2026-06-07 10:44:03 | ml_trading | INFO | Fold 112: train=5950, test=50
2026-06-07 10:44:07 | ml_trading | INFO | Fold 113: train=6000, test=50
2026-06-07 10:44:14 | ml_trading | INFO | Fold 114: train=6050, test=50
2026-06-07 10:44:16 | ml_trading | INFO | Fold 115: train=6100, test=50
2026-06-07 10:44:22 | ml_trading | INFO | Fold 116: train=6150, test=50
2026-06-07 10:44:24 | ml_trading | INFO | Fold 117: train=6200, test=50
2026-06-07 10:44:32 | ml_trading | INFO | Fold 118: train=6250, test=50
2026-06-07 10:44:36 | ml_trading | INFO | Fold 119: train=6300, test=50
2026-06-07 10:44:44 | ml_trading | INFO | Fold 120: train=6350, test=50
2026-06-07 10:44:51 | ml_trading | INFO | Fold 121: train=6400, test=50
2026-06-07 10:44:56 | ml_trading | INFO | Fold 122: train=6450, test=50
2026-06-07 10:45:01 | ml_trading | INFO | Fold 123: train=6500, test=50
2026-06-07 10:45:11 | ml_trading | INFO | Fold 124: train=6550, test=50
2026-06-07 10:45:15 | ml_trading | INFO | Fold 125: train=6600, test=50
2026-06-07 10:45:22 | ml_trading | INFO | Fold 126: train=6650, test=50
2026-06-07 10:45:28 | ml_trading | INFO | Fold 127: train=6700, test=50
2026-06-07 10:45:33 | ml_trading | INFO | Fold 128: train=6750, test=50
2026-06-07 10:45:42 | ml_trading | INFO | Fold 129: train=6800, test=50
2026-06-07 10:45:50 | ml_trading | INFO | Fold 130: train=6850, test=50
2026-06-07 10:45:59 | ml_trading | INFO | Fold 131: train=6900, test=50
2026-06-07 10:46:02 | ml_trading | INFO | Fold 132: train=6950, test=50
2026-06-07 10:46:09 | ml_trading | INFO | Fold 133: train=7000, test=50
2026-06-07 10:46:19 | ml_trading | INFO | Fold 134: train=7050, test=50
