nohup: ignoring input
=================================================
TRAINING BTCUSDT 1h
=================================================

Training model for BTCUSDT 1h...
2026-06-23 11:14:25 | ml_trading | INFO | Database schema initialized
2026-06-23 11:14:25 | ml_trading | INFO | Database initialized at /root/app/ml-project/ml-trading-dashboard/ml_service/storage/database.db
Loaded 17758 candles
Loaded 17758 BTC candles for correlation
Loaded 2414 ES_proxy candles for correlation
2026-06-23 11:19:18 | ml_trading | INFO | Fold 60: train=4046, test=50, purge=12, embargo=12
2026-06-23 11:19:20 | ml_trading | INFO | Fold 61: train=4108, test=50, purge=12, embargo=12
2026-06-23 11:19:22 | ml_trading | INFO | Fold 62: train=4170, test=50, purge=12, embargo=12
2026-06-23 11:19:24 | ml_trading | INFO | Fold 63: train=4232, test=50, purge=12, embargo=12
2026-06-23 11:19:26 | ml_trading | INFO | Fold 64: train=4294, test=50, purge=12, embargo=12
2026-06-23 11:19:28 | ml_trading | INFO | Fold 65: train=4356, test=50, purge=12, embargo=12
2026-06-23 11:19:30 | ml_trading | INFO | Fold 66: train=4418, test=50, purge=12, embargo=12
2026-06-23 11:19:31 | ml_trading | INFO | Fold 67: train=4480, test=50, purge=12, embargo=12
2026-06-23 11:19:33 | ml_trading | INFO | Fold 68: train=4542, test=50, purge=12, embargo=12
2026-06-23 11:19:34 | ml_trading | INFO | Fold 69: train=4604, test=50, purge=12, embargo=12
2026-06-23 11:19:36 | ml_trading | INFO | Fold 70: train=4666, test=50, purge=12, embargo=12
2026-06-23 11:19:38 | ml_trading | INFO | Fold 71: train=4728, test=50, purge=12, embargo=12
2026-06-23 11:19:40 | ml_trading | INFO | Fold 72: train=4790, test=50, purge=12, embargo=12
2026-06-23 11:19:42 | ml_trading | INFO | Fold 73: train=4852, test=50, purge=12, embargo=12
2026-06-23 11:19:45 | ml_trading | INFO | Fold 74: train=4914, test=50, purge=12, embargo=12
2026-06-23 11:19:47 | ml_trading | INFO | Fold 75: train=4976, test=50, purge=12, embargo=12
2026-06-23 11:19:49 | ml_trading | INFO | Fold 76: train=5038, test=50, purge=12, embargo=12
2026-06-23 11:19:51 | ml_trading | INFO | Fold 77: train=5100, test=50, purge=12, embargo=12
2026-06-23 11:19:52 | ml_trading | INFO | Fold 78: train=5162, test=50, purge=12, embargo=12
2026-06-23 11:19:54 | ml_trading | INFO | Fold 79: train=5224, test=50, purge=12, embargo=12
2026-06-23 11:19:56 | ml_trading | INFO | Fold 80: train=5286, test=50, purge=12, embargo=12
2026-06-23 11:19:58 | ml_trading | INFO | Fold 81: train=5348, test=50, purge=12, embargo=12
2026-06-23 11:20:00 | ml_trading | INFO | Fold 82: train=5410, test=50, purge=12, embargo=12
2026-06-23 11:20:05 | ml_trading | INFO | Fold 83: train=5472, test=50, purge=12, embargo=12
2026-06-23 11:20:09 | ml_trading | INFO | Fold 84: train=5534, test=50, purge=12, embargo=12
2026-06-23 11:20:12 | ml_trading | INFO | Fold 85: train=5596, test=50, purge=12, embargo=12
2026-06-23 11:20:16 | ml_trading | INFO | Fold 86: train=5658, test=50, purge=12, embargo=12
2026-06-23 11:20:19 | ml_trading | INFO | Fold 87: train=5720, test=50, purge=12, embargo=12
2026-06-23 11:20:21 | ml_trading | INFO | Fold 88: train=5782, test=50, purge=12, embargo=12
2026-06-23 11:20:23 | ml_trading | INFO | Fold 89: train=5844, test=50, purge=12, embargo=12
